comments,hate
안밝혀진 가수 두명 중 하나가 엑ㅅ 세ㅎ 맞지?,1
감사할일 뿐입니다. 빨리 복귀하세요,0
사진발 필터발?,1
만약 진실이라면 맞고소 가능한ㅑ?,1
미친짜식~~정준영이나 승리나 쓰레기나이 어린것들이 못 된것만 배워가지고욕도 아깝다,2
욕할꺼 아니다 누구든 돈맛 보면 저렇게 변한다.사람이란 그런것이다.,1
코봉이 형,0
내가 정액비누 만들어줄께...는 성희롱이고...모유비누는 웃어넘길 일인가?...정액비누도 아토피나 피부미용에 좋다,2
도태녀들 지금 단체 생리즁☆,2
매번 논란과 해명의 반복이라......,0
프로그램 패지해라 ㅇㅇ,2
아이즈원이랑 엑스원 팬들 논리는 진짜 허무맹랑해서 그저 코웃음나 ㅋㅋㅋ 울애들도 피해자니까 그대로 강행하는게 모두를 위한일이다?,1
축하는 하지만.. 검색어 순위와 기사 도배를 해야할 정도의 우리가 알아야 할 상식인가요?,0
곧 연예기사 댓글폐지된다고 하니 아줌마 댓글 볼날 얼마안남았네,1
징역 6월이면 교도소에서 6개월 생활하는거죠?,0
빠지는게 낫지 근데 얘 빠지면 제시카없는 소시 꼴날듯. 제시카는 리드보컬은 아니였지만 목소리가 젤 좋아서 노래가 허전해졌었음,1
노잼 .. 대사가 안들려서 넷플릭스에서 자막 키고 봤는데 2화까지 보고 못보겠다..,0
외면이 완벽하면 내면도 완벽함. 꼭 존못년놈들이 내면 찾음. 외모가 전부가 아니야 내면이 중요해 라는 말 자체가 피해의식에서 나오는 무의식적인 말임. 니넨 그냥 못생긴거야ㅋㅋㅋㅋ 못생기면 성격도 베베 꼬임 ㅇㄱㄹㅇ,2
무서워도 인정하지ᆢ정말 종일 생각이난다안타깝다ㅜ,0
한부모 가정되셨네요 제발 나라세금 안쓰시길,2
경솔하다..;;전여친이 같이 방송일 하시는분인데..,0
여자한사람 또 인생 만신창이 되어가고 있구나...서로좋으면 끝까지 지금처럼 웃으면서 살아라.. 마음변치말고.. 여러국민들이 지켜보고 있습니다.헤어지지 말고~~~!!!,1
이럴줄알았다 드라마시작되기전에는 그렇게 군대얘기하더니 끝날때되니까 호평밖에없네정상적으로 군대가는남자들만 바보만드네이게 개돼지와 다를게뭐냐,2
멤버중에 하하가 제일 먼저 알았을듯,0
구혜선씨 응원합니다!! 나쁜 소속사 나쁜ㅅㄲ 악플다는 댓글알바들 절대 봐주지 말고 무너지지마세요 나쁜것들은 천벌받을거에요,0
쪼그만게 까져가지고.,1
그냥 자숙이나 하세요,1
남자들은 왜케 어린 여자에 집착할까,1
김치년들 열폭!그러려니 하세요,2
맞습니다. 자숙하시고 달라지 모습으로 나오시길 바랍니다.,0
무당 엄마가 딸이 교통사고 당할걸 미리 예측 못하나요,2
이건 아니다 ㅠㅠ진짜 말이되 포르투갈까지 따라온 여자 버린다고??,0
서인국이 군대만 갔다왔어도 ㅠ,0
문재인 저격드라마,2
왜 고소를 취하한걸까 ? 암튼 보고싶진않다,0
유재석은 꼭 따라 다니는 멤버가 정해져있음 ㅉㅉ,0
드라마도 너무 재미있고 현빈 보면서 정말 행복함 그 잘생긴 외모에 연기력까지 겸비한 현빈은 넘사벽 오늘 연기도 정말 미쳤어 내일 제발 해피엔딩으로 마무리 지어주세요,0
김흥국 아직 살아있네 조문도가고 쪽팔려서 길거리 다니겠는가 암튼 다음생에는 바람끼 같은거 하지맙시다,2
연기잘하는 일본배우인줄 알았는데 대단하세요!,0
요즘에 결혼하고 밖에 나가서 돈 안 벌어오고 집에서 애 육아 참여 안 하는 사람이 어딨냐.,0
우리찜니 넘조아,0
얘가 뭔데?기사거리가 되는걸 써라,1
역시 성상납이 문제야..,1
범죄를 범죄인줄 모르고 ㅈㄹ떠는놈들이나 남자들 무데기로 있는 호텔방가서 ㅊ먹는 ㄴ이나 에혀저런 ㄴ들 만나결혼하면 인생 망친다,2
그래서 이 와중에도 박한별을 욕한다는게ㅋㅋㅋㅋㅋㅋ역시 대단한 나라야,2
왜 김지석 기시에 홍진영자매 악플다냐? 이해불가다 보기싫으면 보지마 니들은 보기싫어도 난 홍지매 재밌으니까 홍선영언니 끼많고 재밌더만 웃는 모습이 너무 귀엽고 천진난만하심 계속 보고싶음,0
때려죽여도 기러기짓은 하지 말아라 여편내들 외국나가면 100% 코쟁이들과 바람남 그거 모르고 니들은 뼈빠지게 돈벌어서 기러기짓하면서 돈 보내주고있지,2
레디가 효은보다 못했다고?,0
숙언니 힘내요 ㅠㅠ막내딸이라고 들은 거같은데 ㅠ삼가고인의 명복을 빕니다,0
지들맘이지 왜 남들이 더 난리야 특이해 이나라사람들,1
어휴... 표절 아닌데 몰아가지좀 마라 그넘의 마녀사냥은 더런넘들... 교묘하게 피했다는 둥 들어보고 빼박이라는 둥... 댓글삭제하겠지 아니라는게 널리 알려지면 ㅋ,2
박보검은 평범한 기독교신자입니다 제발 그만 괴롭히고 이초석 목사님도 항상 응원합니다^^,1
헐 예전 그 회사 안무 하던 ㅅㅋ가 대표하는거야? 그때도 양ㅇ치였는데ㅋㅋ 거기 대표 자살하고... 한 회사 대표된게 안무 가르쳐 주는 ㄴ이 ?? 이게 말이 되나,2
옥주현 뮤지컬계 원탑,0
1년연예 ㅋㅋ 2년봅니다....,1
너무 안타깝네요....삼가 고인의 명복을 빕니다하늘나라에서 부모님과 아이를 잘 지켜주시길.....,0
어~~으 구질구질 ~~~ 구 혜선씨 sns 그만해요,1
여기 피해망상에 찌든 여자들말 들을 필요 없어요. 어차피 얘네는 대한민국 남성이 모두 적인 애들이야. 세상 모든게 다 남자 잘못이라고 생각 하는애들...,2
다른거 다 떠나서 노래가 별로던데 ㅋ아줌씨들은 좋던가? ㅋㅋ,2
힘내라 힘 꽃길만 걷자 준희양 엄마가 하늘에서 보고계시니 꼬옥 힘내라,0
개인정보도용한 그 음원총공팀도 대국민사과해라.그래야공평하지 지들이한건 실수~~래...하여튼 미친..,1
저걸 새벽부터 찾아가서 먹는것들은 제정신인가?ㅋㅋㅋㅋ,1
탁재훈 주식으로 대박 났다고 또 뻥치고 다니던대,1
빤스바람 ㅋㅋㅋㅋㅋㅋㅋㅋ 혜교언니는 그때도 이쁘시던데!,0
열심히 하는분인데 왜 암이 걸리는지 이해가 안됨묘ᆢ,0
뭐 잘생기긴햇는데 이거 위험한 발언 아니냐 남자들이 어린 여자애보고 이쁘다라고 하면 벌떡 뛸거면서,1
할 너무뺐는데?다른걸한건가? 살짝 다른것같기도ㅋㅋ,0
이보람씨가 제일 이쁘던데..,0
아이돌들 연기하는것도 이제 더는 못봐주겠다.. 이렇게 예쁜연기자들 많이 발굴해서 잘 키웠으면 좋겠음,0
급식용 영화 까페에서 성인 남자둘 하는 얘기 엿들었는데 영상이나 볼거리는 화려한데 딱히 스토리는 없고 중간에는 지루하고 토르가 젤 쎗다면서 결론은 비추 라고 하든데,2
희철이가 트와이스 사귀는거 보고 트와이스 하나 노리나 보다 ㅋㅋㅋㅋㅋㅋ,0
순간 지디인줄 ^^;;;;,0
여자가 술쳐먹고 방송 나오는 게 좋나? ㅉㅉ,1
하객 중에 탁재훈이 왜 껴 붙어 있지? 아시는 분?,1
오달수는 억울한것 맞음.. 너무 까지 마세요.,0
ㅋㅋㅋ연예인들 이미지 관리 시작했네 ㅋㅋㅋ,1
이런 영혼은 하나님 한테 의지하면 정말 퍼펙트 하다. 말씀의 씨 들어가면 정말 감동 될거다.,0
편의점점컵라면이나 쳐드시는 찌질한 한남보다 도환이가 귀공자같고 좋다.불가리향수사주고싶은 기럭지.,2
약태환 예능나오네??,2
아이의 존재는 그냥 사라지는 거야? 아예 자식한테 애착이 없었구만... 씁쓸하다,1
꼭 트와 찐팬 아닌것들이 맨날 더 광분하더라 ㅉ,1
"작품준비하면서 호르몬제나 얼굴형 관리 엄청 받았을꺼에요 그렇지 않고서는 안그랬겠지만 , 한 작품을 위해 엄청 노력해서 나와서 좋아요 진짜 재밌게 봤어요 새로운 배우의 발견을 한 것 같아요 동윤씨 힘내세요!! 진짜 앞으로도 존잼일듯",1
박성광결혼기사보다 마스크 수급이 중요 비싸요,1
미모같은소리하네!! 미모가 다 얼어죽었다!!!,2
그 임신만 줄기차게하는 개념없는 한뇬때문에,2
나이먹고 어리고 잘나가는 남자랑 결혼하니까 질투하는 아줌마들 많네 ㅋㅋㅋ,1
"양예원 실장 자살한거 보면 안타깝기 그지 없다. 언론이 그렇게 욕했지만 결국 무죄로 오히려 꽃뱀들 깜빵보내고이병헌도 잘만 인생 살고 있는데, 그것도 꽃뱀한테 사과문도 받고!",2
빽으로 올라간 맴버들 다 공개하고....재정비 바랍니다.,0
드라마는 드라마로 봐야지 왜 정치색을 얘기하는지 도대체 이해가안됨 보기 싫음 보지말길,1
역시 어린엄마가 짱이야 여자는 어려서 결혼해야해,1
근데 누구래?,0
한혜진은 상타며 전현무와 함께 하고 싶다던데 ᆢ전현무는 언급없네ᆢ그나저나 KBS 대상은 김제동 맞나?,1
연기는 다 잘하네 이병헌 유연석 김민정 변요한 통역관은 잘하는데 김태리는 글쎄.. 사극같은 배경에 안어울리는 느낌,0
축하합니다.근데 강남에게 어떤 매력이 있길래 이상화까지결혼 결심을 하게한걸까요?누구 아는사람..,1
근력 운동도 빡시게 했을텐데 근육이 없네.. 3달이면 충분히 눈에 보일만큼 생기는데,0
"반민정 꽃뱀으로 몰고갔던 남자들 진짜.. OOO들 왜 항상 피해자가 자신의 피해를 주장할 때 상처를 두번 세번 받아야 하는 건지,",2
이런걸보고 ㅂㅅ 육깝하네라고하지요,2
오창석 채은 잘어울려요 결혼까지갈것같다 ~~^^,0
정다빈은? 걘 묘지에서 유골 꺼내야 되냐?,2
소이현님넘 좋아요^^ 인교진씨도 같이 했으면 좋았을텐데~~~~,0
이런기사 내지마세요.,0
불쌍하긴 하지만 그래도 살면서 누릴거 다 누리고 잘 살았으니 뭐...,1
게이니 seki.....,2
연애도 못해본 것들이 훈수는 오지게 둠 ㅋㅋㅋㅋㅋㅋㅋ 연애 못해봤으면 나처럼 가만히 있자...(눈물),1
한글잘못쓴거가지고 사람을 단정지어 무식하다는둥...지들은 뭐 한글 완벽하게 아나?,1
전에도 인형이었는데 안검하수로 쌍수한게 맞을듯,1
얘네 팬덤 만큼 완장질에 법적대응 잘하는 가수도 없지 나이때가 할매 꼰머들이라 생각 자체가 굳은듯 ㅋ 유연해질 필요가있어요 인기가 항상 멈춰있는것은 아닐테니까 ㅋㅋㅋㅋ,2
노브라를 하건말건 뭔상관 한남들아 욕그만해 ㅡㅡ,2
박민영 너무 삭았네,1
누군지도 모르지만 옛다 관심 !,0
이까이것 가지고 꼬트리 ㅎㅎㅎㅎㅎ역시 대한민국ㅎㅎㅎㅎㅎㅎ,2
왜들이 인성이 꼬였나 칭찬해줄 못할망정,1
6명전부 별론데 그나마 저중에 문희준이 제일 인기많았고 돈 많이 벌었고,1
저얘기는 자꾸하냐.2년동안 방콕한얘기 예능서 떠드는것도 가벼워보임. 불청서도 얘기하드만.그냥 절친떠난거 조용허게 뮫으면 안되나.,0
"방금 구글에서 카톡내용 일부 보고왔는데 ,저 내용이 사실이라면 뭐랄까 김건모는 직업여성이라 그나마?양호한거고 ,뭐랄까 모든 연예인 나아가서는 능력되는 모든 남자들이 저러고 논다고 봐도 무방할듯",1
그걸 즐기는 거면 할 말은 없다만~ ㅋㅋㅋㅋ 같은 저러는 거 이해가 안 되긴 함 ㅋㅋㅋㅋㅋㅋ,0
차라리 초밥집에서 회덮밥을 했으면 배도 부르고 좋지 않았을까 싶음.... 초밥만 고집한게 좀 아쉽네요 9000원의 가격은 좋지만 돈 더주고 배 어느정도 찬게 좋지 애매한 돈 내고 이도저도 아니게 먹는게 더 싫을듯 ㅠㅠ ..,0
천만 갈 정도의 영화는 아닌데 시기를 잘 타고 인기웹툰 버프 받았음,0
고정관념을 바꿔서 생각해라 내가 힘든만큼상위10퍼 말고 90퍼가 힘들게 산다는거한혜진씨 정도면 이제 힘든건 다지나갔어요,0
태생이 이상하던데...? 어렸을때부터.?아직도 옹호하는 팬심 대단하다,1
차예련 정말 예쁘다고 생각했는데 미우새에 나온거보니까 머리스타일 문제인지; 드라마에서 봤던 내가 아는모습과 뭔가 묘하게 덜 이뻐보이는것 같던데,0
성매매가 합법인 나라도 있고일반 남자분들도 태국이나 어디 그런여행 가지 않나?그런게 모가 대단하다구..강간하거나 성폭력을 사용한건 아니자나그런 사람들한테는 잠잠하구엄한 애만 너무 잡들이 하네이제 그만좀......,2
속도위반이 이젠 축하받을일이냐?ㅋㅋ 나라꼴 참..,1
안타깝다 재능있는 아티스트 중 하나였는데 타인의 이기심때문에 이렇게 됐네 그래도 남아있는 팬들 많은 것 같으니까 얼른 좋은 모습으로 복귀할 수 있길!!,0
"난쟁이 똥자루야 안희ㅈ,미투 패러디 안하냐콧수염 다뽑아뿌까",2
연기안한들 뭔걱정,0
진짜 창피하다 ㅋㅋㅋ 서양인들이 동양인은다 저렇게 ugly한줄 알듯;;,1
근데 이부부는 노래한곡으로 진짜 잘먹고 잘사는것같음... 뭔가 능력보다는 운으로 사는것같음,1
박해미도 책임이 있다남편이 음주운전 한두번이 아니였을듯그리구 부부관계를 떠나사업 동업자다 왜 단돌이를 못했냐 늦은 시간까지 여자들과술먹고 이제와서 강요는 아니라구 형량줄이기냐,1
니가 민폐인걸 지금알앗니??,2
근데솔직히 인상이 착해보이지는않다,0
얼굴도 착하게 생겼는데 그럴 사람이 아니죠. 뭔가 오해가 있는간같은데 정준영 잘생겼고 절대 그럴 사람이 아니에요♡,0
SM에 핍박 당하고 여기서 다 끝났다고 생각하십니까? 인생은 항상 반전이 있습니다 무죄로 밝혀지면 이제는 배우로 열심히 활동하면 됩니다!,0
더 고쳤네ㅡㅡ,1
난 재밌던데 스토리 구성도 탄탄하고,0
이민호 .. 인상이 별루야 .. 최종훈이랑 같은 삘 아님? 여튼 왜인지 모르게 옛날부터 정이 안감 ㅜㅠㅜ 수현이나 빨리 나와라 ㅠㅠ,1
2014년 카톡은 안지우고 지끔까지 갖고 있었다는게 놀랍다~수집하니~지땜에 장씨 날벼락~,1
휴....내마음이 이런데....가족들은 견딜수있을까?,0
왜 스타들이 라스 안나오는줄 알겠더라. 사전 인터뷰때 대수롭지 않게 뱉은 말을 싸움붙이려고 부풀려서 MC들이 굳이 언급함. 그리고 논란같은거 생기면 편집 그딴거 없고 걍 내보냄,0
정우성 공효진은 원래 좌파지만나머지들은 좌파라인 타려고 커밍아웃한건가곧 문죄인과함께 방송에서 사라지겠네 ㅉㅉ사람은 라인을 잘 타야돼,2
연기가 아~~~~주 물이 올랐으!!!!목소리 아~~~~주 꿀을 발랐으!!!!,0
서진이는 효리 승기는 윤아 서준이는 누구랑 만났냐,1
잼나.남궁민 파워,0
즐겁고 좋을때 동반자? 아니지.힘들고 어려울때 누가 뭐라해도 함께하는게 반려자이자 배우자이지. 숱한 음주운전에 인사사고까지 두둔하는 건 아니지만 힘든 상황에 내팽개쳐 버리네.역시 믿을 이는 아무도 낫씽 증명.,1
너무 예뻐요ㅠㅠㅠ 사람 이목구비가 어찌저럼,0
이분 가정사가 좀 어려우심 인간극장도 나왔을걸? 그러다 연예인으로도 뜨지못하고 차라리 연예인 안했으면 더 잘살앗을지도 몰라,1
헐… 오이지 정말 대단하다 대단해 지들 마음대로지 늘 그렇지 ㅎㅎ 참 대단한 회사야 소속사가 같이 도와서 해결하지 않고 그대로 내팽겨쳐버리네,0
이종석 중심으로 드라마가 흘러가야 재밌을듯. 이나영 나오는 부분은 이상하게 재미가 없네,0
설마 협찬?,1
드라마나 민폐없이 찍으세요 모델 한예슬씨. 지금 당신의 심정이 당시 스탭들 심정이겠죠?,2
달수형은 반드시 돌아온다. 진실을 볼줄아는 사람들이 있기 때문이지.,0
그 밥에 그 나물이니 끼리끼리,1
53살 아빠면 어때 아빠가 곽부성인데.... 축하해요,0
건축학 개론 지금 다시 봤는데 솔직히 건축학 개론 보다는 아닙니다ㅋ 건축학 개론은 건들지 맙시다ㅋ 볼때마다 가슴이 애려 옵니다ㅜㅜ,0
이 미국인색기 누가 궁금하다고 이딴 기사올리나,2
현빈넘모 멋진ㅇㅎ,0
각시앙 예전에 구설수 풋 여기까지만 할게.,1
결혼 많이해서 좋으시겟다,1
뭔 주인공을 바꿔 미쳤네 이병헌이 나은데,1
저 깜시는 누구야,2
이런 암퇘지 같은!! 연기할 때도 성기 생각하며 젖어 있는거 아냐??,2
아는 부부는 임신실패했다더라. 걱정 마. 날이면 날마다 버뮤다삼각지대안으로 가랭이사이요술램프위마법스틱을 들락날락 위아래윗윗아래로 구슬땀을흘리면 2세는 언제가는나올테니까.,2
역시 대한민국 망신은 여자들이 다시킨다 ㅠㅠ,1
돼지는 영원한 돼지다,2
진실하게 사과하면 시간이 지나면 개돼중들은 용서 할거임 ㅎㅎ,2
돈이 무진장 쳐 많아도 다 결국 뒤지는구나.,2
관상학적으로 앞으로 빵을 제집 드나들듯이 들락날락할 상이로구나,2
재혼한게 뭐 자랑이라고...뻔뻔해!,1
군대도안간 미국인이 한국에서 돈버는거여????얼탱이없네,1
맛난거 먹으러 메시야 가야겠다 사람 좀 줄었겠지 거품빠지고 차라리 잘됐다 현우 보고싶다,0
그만 좀 나와라 김종국,1
이동건 차예련 핑크빛 열애중 ㅡ벌써 십년전이네 세월참 빠르긴 하네 ㅡㅡhttp://antijms.net,0
일본 사람입장에선 자기나라를 버린거네요.,0
지 버릇 개못준다. 워낙 싸가지 없는xx거 다아는 사실 방송에서 영원이 퇴출 됐어야될 인간이 잊을만하면 나오고 사고 치고 말썽이르키고 어디 한두번 이냐. 국민 비호감 이제 고만나와 국민들에게 스트레스 고만줘라,2
영어카페 하시는 분이구나 축하드려요,0
"인맥자랑, 보여주기식 그이상 그이하도 아니다",1
이 OOO은 볼때마다 재수대가리가 없어 퉷 ㅈ같ㅇㄱ 생겨갖고,2
같은 팀원이 좀 보듬어주지~~ 메인싱어가 나가는건 젝키를 좋아하는 팬입장에서 많이 아쉽다.,0
다들 섣부른 판단말길 조사해보면 나올것이고 여기서 난리 필 이유아닌거 같다 우리나라 사람들 은 왜 그렇게 남들에게 괸심이 많은지 내주변도 잘 돌보지 못하면서 오지랍 쩔어,1
패키지여행 갈 사람한테 ed카드작성이나 이미그레이션심사하는건 왜 알려줌?ㅋㅋ 어차피 인솔자가 다 알어서 해줄건데 ㅋㅋㅋㅋ 첫 해외여행가는 엄마 겁주는게 그렇게 재밌나?ㅋㅋㅋ,0
넘 재미있어요,0
길참주 역 배우 찾아봤네요. 요즘 너무 재밌게 보는 드라마^^남궁민배우 연기도 정말 최고예요!,0
여러분. 악플은 삼갑시다. 진짜로 부탁드립니다.,0
뭔가 편드는건아니고 팬도 아니지만 뭔가 느낌이 이상한건 뭘까요..??하지않는것 같은데 여자쪽에서 손썼을듯한 쎄한느낌 경찰도 그렇고 .. 안타깝네요,1
듣보잡인데 기사엄청나네,1
시언씨 항상 응원합니다~~~따뜻한 마음이 중요하지 뭐가 중요한가요,0
두분 기대해도 될까요?^^,0
어떻게 연예 뉴스에 버트 레널즈 사망 소식이 없나,0
돌았나~?? 이경아...ㅜㅜ,0
남자란 동물인가?그렇게 진솔.순수해보이고 진지해 보였는데.정말 제어가 안대는건인가 ㅜㅜ이사람만큼은 ㅜㅜ사람인줄 알앗네요참 알수가없네요믿기지도 않넫·,1
육지담이 응원한다. 스타되니깐 연락안받고 그런건가? 예로부터 조강지처한테 잘해야 한다고했었는데. 아쉽다 . 물론 육지담이 조강지처인지는모르겠으나.,0
강남♡유이 더 잘어울렸는데 아쉽,0
이서진이 한지민 넘 귀여워 하는것 같음.. 둘이 잘 됐으면..ㅋㅋ,0
sns로 열애인정해서 맞은거아녀????,0
성희롱녀인데 머하러 올라옴?,1
그 나이에 굳이...,1
다들사랑받지못한체살아와 인생이 말이아니네요 참... 불쌍합니다..,0
"팀으로 데뷔한거면 개인활동 했어도 N빵 해야지... 그게 팀을 위해서도 맞는거고~~ 근데 여기 댓글은 다 왜 나누냐는 식이네, 당장 혼자만 배불러야 된다는 심리들인건지, 팀이 유지되야 인기도 오래갈텐데",0
상습에다 판매까지했는데 고작1년6개월??? 나도마약이나팔아서 몇십억해먹고1년6개월 기모띠하겠네,1
"뭘 몇달 안남음서, 유별은... ㅋㅋㅋ",0
슬픈연극으로 인해 더 악화된듯,0
역대급 좋아하네 꼴폐미 드라마 ..들어간 돈이 아까움 ㅋㅋ 현실성이라고는 단 1%도 없는,2
국방은 신성한 의무입니다.,0
언젠가부터안보게되네 노잼,0
고 김주혁님 돌아가셨을때 김주혁님 기사로 인터넷 도배되니까 그 난리치던 엑소의 개집들이었지 아마? ㅋㅋㅋㅋ,2
애기가 초등학교 들어가면 아빠는 학교에 오지마라고 하겠네...ㅠ,0
다시 보고 싶다. 너무 예쁜 첫째부터 세상에서 제일 귀여운 막내 딸까지 그립다.,0
글쎄 남자가 저런말하게 한 bj가 더문제인거 같은데 대충검색해보니 답나오네,1
ㅋㅋㅋㅋㅋㅋ마 서빙은 누가하노 정신차리고 퍼뜩온나,0
서현숙 색기오지긴하는데 화장을너무심하게햇어ㅋㅋ,1
으 ;;;;;;;;;;,0
배우들도 빡칠거같은 전개인대특히 이솜 연기가 아니라 진짜 빡친거같음,0
불편해 보여요....T.T,0
일본에서 그냥 살아라국적 옮겨라,2
성범죄자 난쟁이 ㅅㄲ,2
둘다 누군지 전혀 모르겠는데 요딴 기사즘 안쓰면 안되나?,1
직업이 대중이 ㄷㄷ 이분도 쌀을 핵으로 만드는 연금술사?,1
박보검 + 송중기는 정해인 아님?? 진짜 조각상이야ㅜㅜ,0
승현이형 수고 많았어용 ㅠㅠ. 그동안 남자들한테 갑질하며 행패부린 여자들한테 한방 먹여주신게 얼마나 통쾌한지 몰라용~. 저처럼 형 응원하는 사람들도 있다는걸 잊지말아주세요ㅠ,1
전현무..... 누가 먼저 헤어지자고 했을까? 진짜궁굼(진짜궁금해서. 진짜로 제생각인데 한혜진이 먼저 아닐까?) 멋있어염♡♡,0
임신해도 이쁘네요,0
돼지 stays 돼지 ㅋㅋ 그리고 솔직히 남자는 23 넘어가면 애초에 와꾸가 흘러내려서 이성으로 안 보임 근데 하물며 30대에 관리까지 안했다? 이건 뭐 ㅋㅋ,2
칼같이 처리하는거 맘에드네 저런애들 달고다녀봐야 주변사람만 피곤하지,1
먼가 냄새가 나는데??로비??,1
나 같으면 입 찢어버렸다!,2
미친고래 출연시켜라 솔직히 서현진이 나와야지,0
배드신도 대역이 있나? 배드신은 욕망해소가 안되서 하는건지... 아무나 만지고.. 인간은 다 본능적으로 느껴질수밖에 없는 신체를 가졌는데 본능적인 감정은 연기가 아니잖아?,2
30대 여자비율이 가장높은거보니 고소영이뻐요 하는 이유를 알겠다 ^^ 여자들아 진심으로 한마디 하겠는데 30대 여자는 진심으로 여자로 아예안보여요~^^,2
좀 더 유리한 조건에 계약 맺고 싶나 보지,0
문재앙때문에 나라꼴 미쳐돌아가네요. 탄핵만이 정답일듯,2
혜교님 힘내세요,0
그 맘 심정 알아요 ㅠ 저도 11년 키우던 강쥐 안락사해서 하늘나라 보내봤어요 보내구 우울증 와서 힘들었는데 인연이돼서 다른강쥐데리고 와서 4년째 키우고 있어요,0
이나영 보며 이쁘다..이쁘다..역시이쁘다..어쩜 저리 하나도 안변하고 아이낳고두 이쁠까...감탄만하느랴 무슨내용인지 눈에안들어옴 ㅜ 내일부터 다시집중해야겠어요ㅋ근데 스카이캐슬은 오늘 초집중ㅠ 미첬음 ㅜㅜ,0
이발은 다른사람이 하고 저분들은 뭐함?,0
하차해라 . 대본 받아가면서 연기 하기 안짜증나실제 커플인데 조용히 연애나 하세요. 돈도 좋지만 보는사람입장에서는 둘 다 별루여 그냥 보기 싫어졌어,1
"노라조 ""형""이란 노래로 힘들 때 위로를 받곤 했습니다. 앞으로도 노라조라는 이름으로 여러 사람에게 즐거움과 위안을 주시면 감사하겠습니다.",0
김태희가 좋은이유중하나가 엄청털털하다고 하더라 성격이 남동생잇어서그런지몰라도.,0
로다주 죽는게 슬프냐 세월호 학생들이 희생당한게 슬프냐 저질 히어로영화 볼바에 생일 1번더보는게 애국이다 세월호 5주기맞춰서 방한해서 추모분위기나 흐리고 말이야 앞으로 마블안봅니다,1
둘다 좋아서 섹스해놓고 피임을 안했냐고 한쪽만 욕먹을게 아닌데?여자나 남자나 알아서 조심해야지 좋아서 섹스할땐 언제고 ㅋ,2
"쌍방 입장이 다른 이해관계이므로, 소속사 입장을 들어보면 또 다른 얘기가 나올것 같음. 어쨌든 서로 욕심을 좀 내려놓고 원만히 해결되길",0
오창석이 아까워 ㅠㅠ,0
한지민 + 남주혁은 눈이부시게지 ㅎㅎ,0
진짜 빅뱅은 사회 악이네,1
류이호 잘생겼네,0
